Occupation,Total - Employment income statistics,With employment income,Median employment income,Average employment income,"With wages, salaries and commissions","Median wages, salaries and commisions","Average wages, salaries and commisions"
32112 Dental technologists and technicians,"5,495","5,175","35,200","39,120","4,665","36,800","40,080"
3212 Medical technologists and technicians,"85,190","83,470","57,600","57,000","82,645","57,600","57,150"
32120 Medical laboratory technologists,"20,940","20,520","72,000","67,900","20,370","72,000","68,200"
32121 Medical radiation technologists,"20,755","20,440","71,000","67,800","20,335","71,000","67,900"
32122 Medical sonographers,"6,985","6,825","69,000","64,100","6,660","69,500","64,200"
32123 Cardiology technologists and electrophysiological diagnostic technologists,"3,260","3,205","55,600","54,800","3,165","56,000","54,900"
32124 Pharmacy technicians,"27,965","27,340","39,200","40,520","27,130","39,200","40,520"
32129 Other medical technologists and technicians,"5,290","5,145","48,000","49,680","4,990","48,800","50,440"
322 Practitioners of natural healing,"54,970","49,965","17,200","22,840","20,495","12,000","20,380"
3220 Practitioners of natural healing,"54,970","49,965","17,200","22,840","20,495","12,000","20,380"
32200 Traditional Chinese medicine practitioners and acupuncturists,"5,170","4,575","16,800","24,660","1,760","13,900","25,380"
32201 Massage therapists,"43,665","40,285","18,400","23,360","16,605","11,900","19,660"
32209 Other practitioners of natural healing,"6,130","5,100","7,800","17,200","2,125","11,300","21,860"
33 Assisting occupations in support of health services,"515,420","490,225","33,600","35,000","479,845","34,000","35,200"
331 Assisting occupations in support of health services,"515,420","490,225","33,600","35,000","479,845","34,000","35,200"
3310 Assisting occupations in support of health services,"515,420","490,225","33,600","35,000","479,845","34,000","35,200"
33100 Dental assistants and dental laboratory assistants,"39,965","38,485","30,000","30,800","37,950","30,000","30,800"
33101 Medical laboratory assistants and related technical occupations,"21,600","20,830","44,000","42,840","20,665","44,000","42,920"
"33102 Nurse aides, orderlies and patient service associates","380,320","360,910","35,200","35,640","352,355","35,600","35,960"
33103 Pharmacy technical assistants and pharmacy assistants,"33,655","32,355","28,000","28,720","32,030","28,200","28,680"
33109 Other assisting occupations in support of health services,"39,885","37,650","29,000","34,200","36,845","29,200","34,040"
"4 Occupations in education, law and social, community and government services","2,532,170","2,406,060","52,400","61,050","2,270,285","54,400","61,250"
"40 Managers in public administration, in education and social and community services and in public protection services","139,490","136,275","95,000","92,400","133,930","95,000","93,200"
"400 Managers in public administration, in education and social and community services and in public protection services","139,490","136,275","95,000","92,400","133,930","95,000","93,200"
4001 Managers in public administration,"27,585","27,095","105,000","107,900","26,790","105,000","108,400"
40010 Government managers - health and social policy development and program administration,"8,155","8,080","105,000","105,700","8,015","105,000","105,300"
"40011 Government managers - economic analysis, policy development and program administration","12,255","11,955","107,000","114,700","11,805","108,000","115,600"
40012 Government managers - education policy development and program administration,"2,035","1,990","97,000","97,300","1,940","98,000","98,800"
40019 Other managers in public administration,"5,140","5,065","101,000","99,300","5,025","101,000","100,000"
4002 Managers in education,"51,500","50,460","107,000","101,500","49,800","107,000","102,200"
40020 Administrators - post-secondary education and vocational training,"18,420","18,030","87,000","92,100","17,760","88,000","92,600"
40021 School principals and administrators of elementary and secondary education,"33,080","32,430","114,000","106,700","32,040","114,000","107,400"
"4003 Managers in social, community and correctional services","36,120","34,880","63,600","68,800","33,800","64,500","69,500"
"40030 Managers in social, community and correctional services","36,120","34,880","63,600","68,800","33,800","64,500","69,500"
4004 Managers in public protection services,"24,285","23,835","93,000","90,300","23,535","94,000","91,100"
40040 Commissioned police officers and related occupations in public protection services,"2,245","2,190","130,000","130,200","2,160","130,000","131,600"
40041 Fire chiefs and senior firefighting officers,"2,725","2,715","116,000","113,000","2,705","115,000","113,000"
40042 Commissioned officers of the Canadian Armed Forces,"19,320","18,935","87,000","82,400","18,670","88,000","83,200"
"41 Professional occupations in law, education, social, community and government services","1,337,875","1,277,575","68,000","72,100","1,217,260","68,500","70,400"
411 Professional occupations in law,"109,330","101,705","106,000","149,600","81,270","104,000","129,600"
"4110 Judges, lawyers and Quebec notaries","109,330","101,705","106,000","149,600","81,270","104,000","129,600"
41100 Judges,"3,355","3,290","274,000","256,800","3,220","274,000","244,800"
41101 Lawyers and Quebec notaries,"105,980","98,420","103,000","146,000","78,055","101,000","124,900"
412 Professional occupations in education services,"796,855","762,905","67,500","64,200","748,085","68,000","64,700"
4120 University professors and post-secondary assistants,"200,550","182,245","34,800","60,600","178,290","36,000","60,550"
41200 University professors and lecturers,"79,440","75,965","108,000","107,600","74,630","108,000","107,300"
41201 Post-secondary teaching and research assistants,"121,105","106,275","13,100","27,000","103,665","13,000","26,920"
4121 College and other vocational instructors,"108,620","103,730","66,000","63,550","98,095","68,500","65,500"
41210 College and other vocational instructors,"108,620","103,730","66,000","63,550","98,095","68,500","65,500"
"4122 Secondary, elementary and kindergarten school teachers","487,680","476,935","74,000","65,700","471,695","74,500","66,100"
41220 Secondary school teachers,"165,375","161,795","80,000","70,100","159,660","81,000","70,600"
41221 Elementary school and kindergarten teachers,"322,305","315,145","70,500","63,500","312,035","71,000","63,750"
413 Professional occupations in social and community services,"187,750","181,005","59,200","58,250","168,235","60,400","59,300"
4130 Social and community service professionals,"137,460","132,190","58,400","56,650","120,800","60,000","57,750"
41300 Social workers,"69,445","67,775","67,000","63,650","65,855","67,000","63,850"
